2020-08-25-0805,7.2,8.2,287.0
2020-08-25-0810,7.6,8.4,297.0
2020-08-25-0815,6.4,7.2,304.0
2020-08-25-0820,6.0,7.0,278.0
2020-08-25-0825,6.2,7.2,290.0
2020-08-25-0830,7.2,8.4,292.0
2020-08-25-0835,5.6,6.4,284.0
2020-08-25-0840,6.6,7.8,282.0
2020-08-25-0845,6.4,7.6,287.0
2020-08-25-0850,7.8,8.6,269.0
2020-08-25-0855,7.0,7.8,266.0
2020-08-25-0900,6.8,7.4,261.0
2020-08-25-0905,5.1,6.6,255.0
2020-08-25-0910,5.8,7.0,265.0
2020-08-25-0915,6.0,6.8,258.0
2020-08-25-0920,6.0,7.6,256.0
2020-08-25-0925,6.4,8.0,265.0
2020-08-25-0930,7.6,8.6,266.0
2020-08-25-0935,5.6,8.4,250.0
2020-08-25-0940,6.8,8.0,257.0
2020-08-25-0945,6.0,7.2,244.0
2020-08-25-0950,6.6,8.4,235.0
2020-08-25-0955,6.4,7.2,250.0
2020-08-25-1000,6.2,7.6,242.0
2020-08-25-1005,7.2,8.0,253.0
2020-08-25-1010,7.6,8.7,270.0
2020-08-25-1015,4.9,5.6,257.0
2020-08-25-1020,7.0,8.4,262.0
2020-08-25-1025,5.4,7.6,271.0
2020-08-25-1030,7.0,8.9,264.0
2020-08-25-1035,7.6,8.9,245.0
2020-08-25-1040,7.0,8.7,266.0
2020-08-25-1045,6.8,8.6,268.0
2020-08-25-1050,6.8,8.9,256.0
2020-08-25-1055,6.6,8.2,265.0
2020-08-25-1110,6.8,7.4,253.0
2020-08-25-1115,7.6,9.5,252.0
2020-08-25-1120,7.2,8.0,236.0
2020-08-25-1125,7.6,9.1,270.0
2020-08-25-1130,8.4,9.5,255.0
2020-08-25-1135,6.6,8.6,261.0
2020-08-25-1140,7.4,9.3,236.0
2020-08-25-1145,7.0,8.4,239.0
2020-08-25-1150,8.2,9.7,238.0
2020-08-25-1155,9.5,10.9,247.0
2020-08-25-1200,7.0,8.6,245.0
2020-08-25-1205,6.4,8.9,246.0
2020-08-25-1210,6.8,8.9,236.0
2020-08-25-1215,7.4,8.6,256.0
2020-08-25-1220,7.2,9.5,250.0
2020-08-25-1225,7.2,8.9,268.0
2020-08-25-1230,8.2,9.3,247.0
2020-08-25-1235,8.0,8.7,236.0
2020-08-25-1240,8.2,9.5,251.0
2020-08-25-1245,6.8,7.6,259.0
2020-08-25-1250,8.4,10.5,255.0
2020-08-25-1255,8.7,10.1,248.0
2020-08-25-1300,8.2,10.9,247.0
2020-08-25-1305,6.6,7.8,250.0
2020-08-25-1310,9.9,11.3,251.0
2020-08-25-1315,7.2,8.2,254.0
2020-08-25-1320,8.7,10.1,247.0
2020-08-25-1325,7.4,8.7,234.0
2020-08-25-1330,10.3,11.7,257.0
